('SNA99873', 'ELE74482') 0.171387421987518
('DAI83733', 'DAI85309') 0.1711448598130841
('ELE14480', 'GRO73461') 0.17088055797733218
('DAI62779', 'GRO73461') 0.17084145792710365
('SNA18336', 'GRO73461') 0.17066290550070523
('ELE32164', 'GRO73461') 0.17046650298141003
('SNA38068', 'ELE32164') 0.17016029593094945
('ELE62598', 'SNA38068') 0.1701534170153417
('SNA62128', 'DAI62779') 0.17008797653958943
('SNA82528', 'DAI62779') 0.17003367003367004
('ELE20847', 'GRO85051') 0.16992665036674817
('SNA47306', 'DAI75645') 0.1697841726618705
('FRO31317', 'GRO73461') 0.16952789699570817
('DAI55911', 'SNA80324') 0.16940451745379878
('ELE68605', 'FRO40251') 0.16929698708751795
('FRO75586', 'FRO40251') 0.16929133858267717
('GRO56726', 'DAI62779') 0.16928251121076232
('GRO94758', 'ELE78169') 0.16924110141034251
('SNA96271', 'SNA80324') 0.1691119691119691
('GRO81087', 'DAI75645') 0.16885245901639345
('ELE62598', 'GRO73461') 0.16875871687587168
('ELE37048', 'ELE17451') 0.16832917705735662
('ELE92920', 'DAI85309') 0.16791979949874686
('FRO99783', 'GRO46854') 0.16753926701570682
('DAI83948', 'SNA80324') 0.1674698795180723
('DAI49199', 'FRO40251') 0.16716867469879518
('GRO32086', 'FRO31317') 0.16705607476635514
('FRO53271', 'DAI62779') 0.16690140845070423
('DAI42493', 'DAI75645') 0.16683316683316685
('SNA93860', 'FRO40251') 0.16631130063965885
('ELE91337', 'FRO85978') 0.16602017067494182
('ELE68605', 'ELE17451') 0.1649928263988522
('GRO38814', 'DAI22896') 0.16494082840236687
('GRO50832', 'FRO40251') 0.16447368421052633
('ELE66810', 'DAI62779') 0.164407778432528
('GRO81087', 'GRO61133') 0.16393442622950818
('ELE20398', 'DAI62779') 0.16376811594202897
('FRO85978', 'SNA45677') 0.16371220020855057
('GRO88324', 'ELE17451') 0.16363636363636364
('ELE37770', 'FRO40251') 0.1634920634920635
('DAI31081', 'DAI75645') 0.1633624107850912
('GRO99222', 'ELE17451') 0.16335540838852097
('FRO16142', 'ELE17451') 0.16326530612244897
('DAI91290', 'FRO40251') 0.1625659050966608
('GRO36567', 'GRO38814') 0.1622596153846154
('ELE68605', 'GRO73461') 0.16212338593974174
('FRO31317', 'DAI62779') 0.16137339055793992
('ELE91337', 'DAI62779') 0.1613653995345229
('FRO98729', 'FRO40251') 0.16114457831325302
